,time,fixations
0,0.0,"  fixation id   x   y fixation status
0         NaN NaN NaN            <NA>"
1,0.05,"  fixation id   x   y fixation status
1         NaN NaN NaN            <NA>"
2,0.1,"  fixation id   x   y fixation status
2         NaN NaN NaN            <NA>"
3,0.15,"  fixation id   x   y fixation status
3         NaN NaN NaN            <NA>"
4,0.2,"  fixation id   x   y fixation status
4         NaN NaN NaN            <NA>"
5,0.25,"  fixation id   x   y fixation status
5         NaN NaN NaN            <NA>"
6,0.3,"  fixation id   x   y fixation status
6         NaN NaN NaN            <NA>"
7,0.35,"  fixation id   x   y fixation status
7         NaN NaN NaN            <NA>"
8,0.4,"  fixation id   x   y fixation status
8         NaN NaN NaN            <NA>"
9,0.45,"  fixation id   x   y fixation status
9         NaN NaN NaN            <NA>"
10,0.5,"   fixation id   x   y fixation status
10         NaN NaN NaN            <NA>"
11,0.55,"   fixation id   x   y fixation status
11         NaN NaN NaN            <NA>"
12,0.6,"   fixation id   x   y fixation status
12         NaN NaN NaN            <NA>"
13,0.65,"   fixation id   x   y fixation status
13         NaN NaN NaN            <NA>"
14,0.7,"   fixation id   x   y fixation status
14         NaN NaN NaN            <NA>"
15,0.75,"   fixation id   x   y fixation status
15         NaN NaN NaN            <NA>"
16,0.8,"   fixation id   x   y fixation status
16         NaN NaN NaN            <NA>"
17,0.85,"   fixation id   x   y fixation status
17         NaN NaN NaN            <NA>"
18,0.9,"   fixation id   x   y fixation status
18         NaN NaN NaN            <NA>"
19,0.95,"   fixation id   x   y fixation status
19         NaN NaN NaN            <NA>"
20,1.0,"   fixation id   x   y fixation status
20         NaN NaN NaN            <NA>"
21,1.05,"   fixation id   x   y fixation status
21         NaN NaN NaN            <NA>"
22,1.1,"   fixation id   x   y fixation status
22         NaN NaN NaN            <NA>"
23,1.15,"   fixation id   x   y fixation status
23         NaN NaN NaN            <NA>"
24,1.2,"   fixation id   x   y fixation status
24         NaN NaN NaN            <NA>"
25,1.25,"   fixation id   x   y fixation status
25         NaN NaN NaN            <NA>"
26,1.3,"   fixation id   x   y fixation status
26         NaN NaN NaN            <NA>"
27,1.35,"   fixation id   x   y fixation status
27         NaN NaN NaN            <NA>"
28,1.4,"   fixation id   x   y fixation status
28         NaN NaN NaN            <NA>"
29,1.45,"   fixation id   x   y fixation status
29         NaN NaN NaN            <NA>"
30,1.5,"   fixation id   x   y fixation status
30         NaN NaN NaN            <NA>"
31,1.55,"   fixation id   x   y fixation status
31         NaN NaN NaN            <NA>"
32,1.6,"   fixation id   x   y fixation status
32         NaN NaN NaN            <NA>"
33,1.65,"   fixation id   x   y fixation status
33         NaN NaN NaN            <NA>"
34,1.7,"   fixation id   x   y fixation status
34         NaN NaN NaN            <NA>"
35,1.75,"   fixation id   x   y fixation status
35         NaN NaN NaN            <NA>"
36,1.8,"   fixation id   x   y fixation status
36         NaN NaN NaN            <NA>"
37,1.85,"   fixation id   x   y fixation status
37         NaN NaN NaN            <NA>"
38,1.9,"   fixation id   x   y fixation status
38         NaN NaN NaN            <NA>"
39,1.95,"   fixation id   x   y fixation status
39         NaN NaN NaN            <NA>"
40,2.0,"   fixation id   x   y fixation status
40         NaN NaN NaN            <NA>"
41,2.049999999,"   fixation id   x   y fixation status
41         NaN NaN NaN            <NA>"
42,2.1,"   fixation id   x   y fixation status
42         NaN NaN NaN            <NA>"
43,2.15,"   fixation id   x   y fixation status
43         NaN NaN NaN            <NA>"
44,2.2,"   fixation id   x   y fixation status
44         NaN NaN NaN            <NA>"
45,2.25,"   fixation id   x   y fixation status
45         NaN NaN NaN            <NA>"
46,2.3,"   fixation id   x   y fixation status
46         NaN NaN NaN            <NA>"
47,2.35,"   fixation id   x   y fixation status
47         NaN NaN NaN            <NA>"
48,2.4,"   fixation id        x           y fixation status
48         1.0  764.077  534.541333           start"
49,2.45,"   fixation id          x        y fixation status
49         1.0  761.20175  533.957          during"
50,2.5,"   fixation id   x   y fixation status
50         NaN NaN NaN            <NA>"
51,2.55,"   fixation id   x   y fixation status
51         NaN NaN NaN            <NA>"
52,2.6,"   fixation id           x           y fixation status
52         1.0  760.086833  543.847833          during"
53,2.65,"   fixation id           x           y fixation status
53         1.0  755.576333  552.685667          during"
54,2.7,"   fixation id           x           y fixation status
54         1.0  765.036833  540.534833          during"
55,2.75,"   fixation id         x           y fixation status
55         1.0  783.8755  533.504333          during"
56,2.8,"   fixation id        x           y fixation status
56         1.0  787.951  524.147167          during"
57,2.85,"   fixation id           x         y fixation status
57         1.0  803.255667  521.9015          during"
58,2.9,"   fixation id         x        y fixation status
58         1.0  811.3655  492.438          during"
59,2.95,"   fixation id           x           y fixation status
59         1.0  794.317167  482.411667             end"
60,3.0,"Empty DataFrame
Columns: [fixation id, x, y, fixation status]
Index: []"
61,3.05,"   fixation id           x           y fixation status
61        <NA>  639.834167  448.633833            <NA>"
62,3.1,"   fixation id           x           y fixation status
62        <NA>  609.667667  392.546667            <NA>"
63,3.15,"   fixation id           x           y fixation status
63        <NA>  677.960167  466.438833            <NA>"
64,3.2,"   fixation id           x           y fixation status
64        <NA>  678.686667  421.475333            <NA>"
65,3.25,"   fixation id         x         y fixation status
65         2.0  780.7082  410.7614           start"
