tag_id,x,y,z,normal_x,normal_y,normal_z,size
0,11.186,0.9975,1.5755,-1,0,0,0.089
1,11.186,2.6235,1.5755,-1,0,0,0.089
2,11.186,4.3965,1.5755,-1,0,0,0.089
3,11.186,6.1965,1.5755,-1,0,0,0.089
4,10.0085,7.4,1.5755,0,-1,0,0.089
5,8.7485,7.4,1.5755,0,-1,0,0.089
6,7.1495,7.4,1.5755,0,-1,0,0.089
7,4.6965,7.4,1.5755,0,-1,0,0.089
8,2.525499999999999,7.4,1.5755,0,-1,0,0.089
9,0.7675000000000001,7.4,1.5755,0,-1,0,0.089
10,0.0,6.4775,1.5755,1,0,0,0.089
11,0.0,4.676500000000001,1.5755,1,0,0,0.089
12,0.0,2.8885000000000005,1.5755,1,0,0,0.089
13,0.0,1.1295000000000002,1.5755,1,0,0,0.089
14,0.7345000000000006,0.0,1.5755,0,1,0,0.089
15,2.7695000000000007,0.0,1.5755,0,1,0,0.089
16,4.9775,0.0,1.5755,0,1,0,0.089
17,6.3755,0.0,1.5755,0,1,0,0.089
18,7.6245,0.0,1.5755,0,1,0,0.089
19,10.2175,0.0,1.5755,0,1,0,0.089
